1	771
2	666
3	633
4	624
5	635
6	628
7	587
8	572
9	570
10	569
11	523
12	528
13	490
14	549
15	487
16	487
17	497
18	451
19	434
20	427
21	420
22	487
23	407
24	384
25	402
